class_name	ci_count
cmdb_ci_aws_redshift	0
cmdb_ci_azure_datacenter	0
cmdb_ci_azure_subscription	0
cmdb_ci_baseband_unit	0
cmdb_ci_base_rpa_process	0
cmdb_ci_base_rpa_robot	0
cmdb_ci_base_station_controller	0
cmdb_ci_batch_job	0
cmdb_ci_battery_distribution_fuse_bay	0
cmdb_ci_beacon_tower_eq	0
cmdb_ci_boks	0
cmdb_ci_bosh_component	0
cmdb_ci_bosh_deployment	0
cmdb_ci_bridge_domain	0
cmdb_ci_building_facility	0
cmdb_ci_bundled_resources	0
cmdb_ci_business_app	0
cmdb_ci_business_capability	0
cmdb_ci_call_content_delivery_unit	0
cmdb_ci_call_server	0
cmdb_ci_cassandra_cluster	0
cmdb_ci_cassandra_cluster_node	0
cmdb_ci_cassandra_instance	0
cmdb_ci_cassandra_keyspace	0
cmdb_ci_certificate	0
cmdb_ci_channel_bank	0
cmdb_ci_channel_bank_transport	0
cmdb_ci_chassis	0
cmdb_ci_cim_profile	0
cmdb_ci_cim_server	0
cmdb_ci_cisco_apic	0
cmdb_ci_citrix_netscaler_sdx	0
cmdb_ci_cloud_appserver	0
cmdb_ci_cloud_database	0
cmdb_ci_cloud_db_cluster	0
cmdb_ci_cloud_directory	0
cmdb_ci_cloud_direct_connect	0
cmdb_ci_cloud_file_service	0
cmdb_ci_cloud_file_share	0
cmdb_ci_cloud_hardware_type	0
cmdb_ci_cloud_host	0
cmdb_ci_cloud_ip_address	0
cmdb_ci_cloud_key_pair	0
cmdb_ci_cloud_lb_ipaddress	0
cmdb_ci_cloud_load_balancer	0
cmdb_ci_cloud_messaging_service	0
cmdb_ci_cloud_monitor_alarm	0
cmdb_ci_cloud_monitor_notification	0
cmdb_ci_cloud_object_service	0
cmdb_ci_cloud_openstack_domain	0
cmdb_ci_cloud_openstack_endpoint	0
cmdb_ci_cloud_openstack_service	0
cmdb_ci_cloud_os_image	0
cmdb_ci_cloud_public_database	0
cmdb_ci_cloud_public_ipaddress	0
cmdb_ci_cloud_queue_service	0
cmdb_ci_cloud_resource_base	0
cmdb_ci_cloud_storage_account	0
cmdb_ci_cloud_subnet	0
cmdb_ci_cloud_table_service	0
cmdb_ci_cloud_topic	0
cmdb_ci_cloud_webserver	0
cmdb_ci_cluster	0
cmdb_ci_cluster_node	0
cmdb_ci_cluster_node_resource	0
cmdb_ci_cluster_resource	0
cmdb_ci_cluster_vip	0
cmdb_ci_cluster_vm_affinity_rule	0
cmdb_ci_cluster_vm_dependency_rule	0
cmdb_ci_cluster_vm_host_rule	0
cmdb_ci_cmp_resource	0
cmdb_ci_cohesity_cluster	0
